datetime,PM2.5,PM10,NO2,SO2,CO,O3,PM2.5_lag1,PM2.5_roll7,day,month,year
2015-01-01,78.22261179345091,102.5331432552269,40.16709124814657,19.362318490562288,0.9888104838290284,29.05006088175421,,,1,1,2015
2015-01-02,77.40499835015119,99.32491548826988,41.3538256123118,19.34915338296209,0.9019497393576881,30.323992987052026,78.22261179345091,,2,1,2015
2015-01-03,83.71321111200541,101.3858893072706,38.64097668947958,19.36996396203294,1.116725190575236,29.64216659162494,77.40499835015119,,3,1,2015
2015-01-04,81.18237327135252,105.73616964881712,40.21115957738628,20.563576189433558,1.0271330049869372,32.89665581945423,83.71321111200541,,4,1,2015
2015-01-05,84.83725515885523,99.59475374684034,39.91468443391467,19.245692602372362,1.052256884084686,33.961972056711765,81.18237327135252,,5,1,2015
2015-01-06,83.64124126911643,112.53382051579707,40.09554966448413,20.32468811258578,1.049707871938234,33.53171814441537,84.83725515885523,,6,1,2015
2015-01-07,89.06594722409103,105.84045548675594,42.35459155143483,21.746164098952136,1.004473913469992,27.459436951453693,83.64124126911643,82.58109116843183,7,1,2015
2015-01-08,87.23148563900087,101.9895679978626,41.94231661136353,20.433429564408627,1.1291656715647351,27.185436466704875,89.06594722409103,83.86807314636751,8,1,2015
2015-01-09,92.44082442014256,109.30976424236239,40.772174033534014,22.241432448518665,0.9780516179612199,34.39835887423623,87.23148563900087,86.01604829922344,9,1,2015
2015-01-10,87.13507604191294,110.78845357461763,42.495968690371015,22.958712571674486,1.0116716090856406,34.32977282613127,92.44082442014256,86.50488614635309,10,1,2015
2015-01-11,87.78573338750046,110.78736542910876,42.87756886021512,21.479854191495576,1.0194784798518532,36.499598238183694,87.13507604191294,87.44822330580278,11,1,2015
2015-01-12,90.40231057633326,120.03740766958346,44.958331641686584,23.47768454568461,1.0537413436308194,33.84827827348021,87.78573338750046,88.24323122258537,12,1,2015
2015-01-13,93.42536752647219,116.69193820461031,43.985576193035286,19.021023715510093,1.0370689803291604,32.69240150429018,90.40231057633326,89.64096354506476,13,1,2015
2015-01-14,95.72853618862531,105.52936416391766,43.292428541305306,21.85093503310019,1.0463574225953278,34.03295876189309,93.42536752647219,90.59276196856966,14,1,2015
2015-01-15,89.52584515961968,118.87552793372322,42.036835124884384,21.898683569585998,1.096130659188432,33.111880597527254,95.72853618862531,90.92052761437233,15,1,2015
2015-01-16,96.87069445661892,115.43941066277,39.009585760075915,23.548079833234095,1.0431175815132734,34.2830015409996,89.52584515961968,91.55336619101182,16,1,2015
2015-01-17,94.92342294131798,113.27659698254242,44.11973555067595,21.5973032924018,1.0470898650670744,37.03042073098842,96.87069445661892,92.66598717664111,17,1,2015
2015-01-18,98.53750522281071,121.84181438324742,42.31257740825329,20.966536398145188,1.0834152163677482,38.0552076225488,94.92342294131798,94.20195458168544,18,1,2015
2015-01-19,93.25029971171138,117.40695788412451,45.980658909967794,22.480876269071036,1.063297216515688,36.31952777108278,98.53750522281071,94.60881017245374,19,1,2015
2015-01-20,98.63721806319495,120.54293925698248,47.77537613577345,20.763865715854607,1.1734223469374834,33.45334952483096,93.25029971171138,95.35336024912841,20,1,2015
2015-01-21,96.41291621376475,125.77970171740718,41.85865374082956,23.092145838996075,1.1389789288705054,37.46537863907336,98.63721806319495,95.45112882414833,21,1,2015
2015-01-22,93.12559675041592,121.21404380834933,47.20027330299223,22.47180130398786,1.0964867370236926,34.06142430407404,96.41291621376475,95.96537905140495,22,1,2015
2015-01-23,95.94578162986028,123.9309904306307,45.912773034456286,23.841384080534656,1.0922498294433869,41.66337947771236,93.12559675041592,95.8332486475823,23,1,2015
2015-01-24,99.94866385824554,118.42233410911223,46.276786681451284,22.169399229308326,1.1280422932205674,40.074112377086564,95.94578162986028,96.55114020714336,24,1,2015
2015-01-25,102.57469686684891,117.3286082336378,44.662091758819734,22.518130766716467,1.0543001003969423,39.78737840721582,99.94866385824554,97.12788187057738,25,1,2015
2015-01-26,107.47668736184109,126.24186738822732,42.36724197184472,22.301699880925252,1.1707922206320778,39.937931743993424,102.57469686684891,99.16022296345307,26,1,2015
2015-01-27,97.91358434170519,131.45714535820778,44.972891301976375,22.058071254980664,1.1901177845675825,40.27472211047773,107.47668736184109,99.05684671752594,27,1,2015
2015-01-28,104.27519519651541,127.68314257031972,43.25034482986472,24.3317302406498,1.1835885113318805,39.067244706465125,97.91358434170519,100.18002942934747,28,1,2015
2015-01-29,104.29177482975969,131.1139333346809,50.21721203561018,24.924352503745705,1.1343285498599756,38.045258895160735,104.27519519651541,101.7751977263966,29,1,2015
2015-01-30,103.81783324127788,133.80296272313447,46.51604114285715,24.652707984823888,1.1350072582434565,40.96022568990301,104.29177482975969,102.89977652802769,30,1,2015
2015-01-31,103.52992463702572,127.81945524780845,40.45160893196914,23.7000241650541,1.1491943013927581,41.33093258233752,103.81783324127788,103.41138521071056,31,1,2015
2015-02-01,107.1935412871231,129.26171306861482,47.353703706001646,23.198237284558385,1.1012207784928418,41.02752619963342,103.52992463702572,104.07122012789257,1,2,2015
2015-02-02,109.0165809572048,131.22997763651713,47.36154068193028,24.27131152126353,1.1468869857481219,40.824989216888326,107.1935412871231,104.29120492723025,2,2,2015
2015-02-03,107.4422598319095,127.24024047449849,46.76113261258049,24.36229739741599,1.1318416980278119,40.86931868866783,109.0165809572048,105.65244428297373,3,2,2015
2015-02-04,110.80343543406293,132.9110912951818,46.5420013616804,25.273113372557617,1.154534181423979,40.16011911622858,107.4422598319095,106.5850500311948,4,2,2015
2015-02-05,111.509615512964,136.3597350905973,46.289520059024206,23.278540554104385,1.1223921770314464,40.833982013294296,110.80343543406293,107.6161701287954,5,2,2015
2015-02-06,114.04028350273512,135.01355857727532,47.139286006259276,23.519787325943668,1.1970747573770082,45.15509878844089,111.509615512964,109.07652016614645,6,2,2015
2015-02-07,117.23625620911314,131.34717161963323,47.50736232984706,25.02998859264186,1.126728904620611,43.40251558749208,114.04028350273512,111.0345675335875,7,2,2015
2015-02-08,111.17090157283263,133.0631235387271,45.197373330640346,24.747529706170056,1.1789145352178532,42.29029194227381,117.23625620911314,111.60276186011745,8,2,2015
2015-02-09,112.23473316728239,143.52392521876914,48.85512031404726,23.31834769290708,1.150376894327005,42.36367704538366,111.17090157283263,112.06249789012853,9,2,2015
2015-02-10,110.4530510958798,137.17853865564697,46.386885304089105,23.153932052903176,1.1956811979359856,44.55846458415993,112.23473316728239,112.49261092783857,10,2,2015
2015-02-11,114.80784888758886,130.01329770355218,47.339917755715526,25.798299756159906,1.1430452243089309,44.04130613518286,110.4530510958798,113.06466999262798,11,2,2015
2015-02-12,116.95375928661538,142.17845785347177,48.008751494744025,24.60824227716857,1.1033330657277736,38.809777417525325,114.80784888758886,113.84240481743534,12,2,2015
2015-02-13,116.56104202252529,139.92264829949661,50.03035654616051,24.290823837171104,1.1627854783910585,46.145744330241,116.95375928661538,114.20251317740535,13,2,2015
2015-02-14,112.09998635541369,134.14382590493736,47.24045674937176,25.558874972263734,1.2040993598254899,40.40325030343292,116.56104202252529,113.46876034116258,14,2,2015
2015-02-15,116.56743200042904,138.1743648260009,46.82123243473719,23.561798540808468,1.20625423689111,45.2402649755491,112.09998635541369,114.23969325939062,15,2,2015
2015-02-16,120.05217710680358,136.44051456583585,48.33021160739542,24.643656211596383,1.1553531079799948,43.339832082025914,116.56743200042904,115.35647096503651,16,2,2015
2015-02-17,115.97085022557998,135.82113078393255,48.24529596024376,24.433939740206323,1.2423162861570025,43.29870148539689,120.05217710680358,116.14472798356512,17,2,2015
2015-02-18,119.86122833912565,136.30944239759785,50.640328251925894,24.13036590529417,1.088622934253227,45.3045158280567,115.97085022557998,116.86663933378465,18,2,2015
2015-02-19,112.91524174036982,146.1605015479431,50.707630302567146,26.173500401482347,1.1898887056239735,47.85406347845531,119.86122833912565,116.28970825574959,19,2,2015
2015-02-20,116.35274696958265,141.9135328522825,50.43843202373543,25.252594314798277,1.2113662155713905,44.11551552022266,112.91524174036982,116.25995181961491,20,2,2015
2015-02-21,118.57615272301133,137.27414471877424,46.83498303706423,25.467019318325978,1.2570235946474246,45.115585150083454,116.35274696958265,117.18511844355744,21,2,2015
2015-02-22,117.09170771394052,140.17039469421624,54.58201440329864,24.538662860024157,1.1700817655537523,44.10320014636789,118.57615272301133,117.26001497405909,22,2,2015
2015-02-23,118.30096323902283,146.11978480713157,51.241989645527376,26.38902365645332,1.2233225748897387,48.78626285856178,117.09170771394052,117.00984156437612,23,2,2015
2015-02-24,118.55385474800262,144.72489237432248,50.7304473717007,24.293000982675853,1.2807492024798683,47.42399894797899,118.30096323902283,117.37884221043649,24,2,2015
2015-02-25,119.33350452935174,143.95255726115323,50.171157383331966,26.75236683730837,1.3117346866805872,50.04730465064464,118.55385474800262,117.30345309475452,25,2,2015
2015-02-26,112.00918917187232,152.7135638063216,51.538939617357876,27.32301722656369,1.2620449266284701,45.58104887176199,119.33350452935174,117.17401701354058,26,2,2015
2015-02-27,121.64912834647141,152.02893790274524,51.88041029936019,26.83954138590988,1.2530849040002165,46.687105457340856,112.00918917187232,117.93064292452469,27,2,2015
